Norte,"65,109.53"
Algarve,"9,584.08"
Centro (PT) (NUTS 2021),"41,287.27"
Área Metropolitana de Lisboa (NUTS 2021),"76,602.81"
Alentejo (NUTS 2021),"13,731.98"
Região Autónoma dos Açores,"4,560.55"
Região Autónoma dos Açores,"4,560.55"
Região Autónoma da Madeira,"5,025.69"
Região Autónoma da Madeira,"5,025.69"
Extra-Regio NUTS 1,151.31
Extra-Regio NUTS 2,151.31
Extra-Regio NUTS 1,141.13
Extra-Regio NUTS 2,141.13
Slovenia,"52,278.76"
Slovenija,"52,278.76"
Vzhodna Slovenija,"22,446.16"
Zahodna Slovenija,"29,832.61"
Slovakia,"100,255.72"
Slovensko,"100,255.72"
Bratislavský kraj,"28,104.14"
Západné Slovensko,"30,700.65"
Stredné Slovensko,"20,102.33"
Východné Slovensko,"21,348.61"
Finland,"250,664"
Manner-Suomi,"249,233.05"
Länsi-Suomi,"55,932.63"
Helsinki-Uusimaa,"98,663.45"
Etelä-Suomi,"46,052.40"
Pohjois- ja Itä-Suomi,"48,584.57"
Åland,"1,343.72"
Åland,"1,343.72"
Extra-Regio NUTS 1,87.22
Extra-Regio NUTS 2,87.22
Extra-Regio NUTS 1,96.65
Extra-Regio NUTS 2,96.65
Norway,"425,445.57"
Norge,"321,279.75"
Innlandet,"17,838.55"
Trøndelag,"26,143.11"
Nord-Norge,"26,109.13"
Oslo og Viken,"132,715.89"
Agder og Sør-Østlandet,"35,889.13"
Vestlandet,"82,392.66"
Svalbard og Jan Mayen,191.28
Extra-Regio level 1,"104,165.82"
Extra-Regio level 2,"104,165.82"
Switzerland,"687,568.43"
Schweiz/Suisse/Svizzera,"687,568.43"
Région lémanique,"129,250.55"
Espace Mittelland,"136,702"
Nordwestschweiz,"98,497.44"
Zürich,"140,799.63"
Ostschweiz,"85,766.99"
Zentralschweiz,"65,855.09"
Ticino,"30,696.74"
Montenegro,"4,955.12"
Crna Gora,"4,955.12"
Crna Gora,"4,955.12"
North Macedonia,"11,834.72"
Severna Makedonija,"11,834.72"
Severna Makedonija,"11,834.72"
Albania,"15,157.38"
Shqipëria,"15,157.38"
Veri,"3,390.40"
Qender,"7,646.74"
Jug,"4,120.24"
Serbia,"53,345.34"
Srbija - sever,"35,176.57"
Beogradski region,"21,428.49"
Region Vojvodine,"13,748.07"
Srbija - jug,"18,145.33"
Region Sumadije i Zapadne Srbije,"9,975.64"
Region Juzne i Istocne Srbije,"8,169.70"
Extra-Regio level 1,23.44
Extra-Regio level 2,23.44
Türkiye,"690,245.97"
İstanbul,"209,729.61"
İstanbul,"209,729.61"
Batı Marmara,"33,274.51"
"Tekirdağ, Edirne, Kırklareli","20,046.15"
"Balıkesir, Çanakkale","13,228.37"
Ege,"87,772.75"
İzmir,"43,883.65"
"Aydın, Denizli, Muğla","22,097.50"
"Manisa, Afyonkarahisar, Kütahya, Uşak","21,791.59"
Doğu Marmara,"84,406.34"
"Bursa, Eskişehir, Bilecik","38,754.41"
"Kocaeli, Sakarya, Düzce, Bolu, Yalova","45,651.93"
Batı Anadolu,"79,705.63"
Ankara,"63,777.90"
"Konya, Karaman","15,927.73"
Akdeniz,"70,026.20"
"Antalya, Isparta, Burdur","24,260.55"
"Adana, Mersin","27,060.24"
"Hatay, Kahramanmaraş, Osmaniye","18,705.42"
Orta Anadolu,"24,293.31"
"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir","9,010.45"
"Kayseri, Sivas, Yozgat","15,282.86"
Batı Karadeniz,"24,782.76"
"Zonguldak, Karabük, Bartın","6,631.86"
"Kastamonu, Çankırı, Sinop","4,654.84"
"Samsun, Tokat, Çorum, Amasya","13,496.06"
Doğu Karadeniz,"13,276.08"
"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane","13,276.08"
Kuzeydoğu Anadolu,"9,204.11"
"Erzurum, Erzincan, Bayburt","5,500.73"
"Ağrı, Kars, Iğdır, Ardahan","3,703.38"
Ortadoğu Anadolu,"15,193.81"
"Malatya, Elazığ, Bingöl, Tunceli","8,582.11"
"Van, Muş, Bitlis, Hakkari","6,611.70"
Güneydoğu Anadolu,"38,580.84"
"Gaziantep, Adıyaman, Kilis","17,142.34"
"Şanlıurfa, Diyarbakır","11,674.20"
"Mardin, Batman, Şırnak, Siirt","9,764.30"
