,GPD
419,5676.9529703836315
420,4783.116661821996
421,4630.574673660179
422,4958.459732718018
423,4961.663790660999
424,5476.526947335217
425,4967.071976610067
426,4641.973337239817
427,5018.777676355668
428,5692.443848825165
429,4981.854653856247
430,4962.15022437092
431,4873.126098837881
432,4995.208303146102
433,5145.911261410799
434,4979.572163932534
435,5431.959691199122
436,4973.855820464539
437,4979.134865049162
438,4698.307525555272
439,4651.086798397016
440,4992.779812938645
441,4622.447938712614
442,4990.383147877961
443,4746.8518680012285
444,4976.468105509095
445,5212.618336947461
446,4625.320202431659
447,4995.514016001217
448,4961.46617265536
449,4783.116661821996
450,4958.7320646262115
451,4980.706297576595
452,4794.389722448976
453,4973.981365063692
454,4803.78220677456
455,4962.15022437092
456,4748.520769492552
457,4980.439957729964
458,5002.671310099491
459,4986.273712953506
460,5346.554356888146
461,5429.546636403802
462,4627.240700443036
463,4769.2251984149525
464,5231.294694074404
465,4966.634783718471
466,4978.60329810728
467,5347.754835618581
468,4965.039157809744
469,4966.634783718471
470,4955.095728203496
471,4986.6176323872305
472,5173.252406438276
473,4740.600770138882
474,4990.383147877961
475,4986.6176323872305
476,4657.238334686942
477,5119.184982018534
478,4971.21704744799
479,5319.727067952845
480,4879.525966578597
481,4764.874793116392
482,4634.71209686187
483,4602.562969406045
484,4976.468105509095
485,4881.798228850926
486,5196.710866697498
487,5020.589182549778
488,5055.626861492306
489,4630.040932331649
490,4803.78220677456
491,4692.35516094359
492,4698.372918792372
493,4958.459732718018
494,4633.287702876874
495,4990.383147877961
496,4662.9767659313275
497,4627.240700443036
498,4976.468105509095
499,5431.86471937021
500,4961.663588659196
501,4971.317633553739
502,4718.722298662365
503,4960.265872208871
504,5870.655783147154
505,5145.911261410799
506,4873.126098837881
507,4965.039157809744
508,5034.89865893253
509,5300.557980699157
510,4713.415014693681
511,4964.132172297121
512,4725.103208136213
513,4955.960800231407
514,4999.5003691394995
515,5041.052366817721
516,4973.855820464539
517,4989.211471596684
518,5325.968793034178
519,5283.496089335751
520,5005.3400899484
521,4966.652575777245
522,5283.987910735144
523,4966.634783718471
524,5083.209561770771
525,4698.745596383518
526,4603.273790983668
527,4861.19746841846
528,4808.79121979416
529,4602.562969406045
530,4913.42825557147
531,5419.067146625009
532,4955.960800231407
533,4990.093841817982
534,5885.0998759539125
535,5055.626861492306
536,4995.514016001217
537,4635.793558678964
538,4981.31263548532
539,4689.654373767263
540,4738.21527928426
541,4841.415950108079
542,5472.8222908738235
543,5109.321780215845
544,5002.671310099491
545,4773.9776498666715
546,4984.354821108822
547,4992.779812938645
548,4629.523962911969
549,4966.652575777245
550,4983.352160016221
551,5071.7935404995915
552,4602.562969406045
553,5431.959691199122
554,4961.228355538466
555,4652.229510362984
556,5023.802241821148
557,5429.546636403802
558,4698.745596383518
559,4961.46617265536
560,4994.5497735539675
561,5190.158934567732
562,5258.822315061523
563,4629.971711441962
564,4808.79121979416
565,5063.541099040731
566,4738.21527928426
567,5122.2843170604665
568,4976.468105509095
569,5104.732130674179
570,5085.708056422099
571,5367.448590032872
572,5069.848961513642
573,4982.4318850442505
574,4628.601190572038
575,4990.8091557289345
576,4989.211471596684
577,4748.520769492552
578,5007.15735153081
579,4973.981365063692
580,4976.468105509095
581,4635.562740607978
582,5007.147600412349
583,4965.039157809744
584,4636.901023513985
585,4979.572163932534
586,5120.471538166349
587,4978.106295509004
588,5282.068633839797
589,4713.415014693681
590,4699.040480455698
591,4991.170041074797
592,4971.317633553739
593,4635.562740607978
594,4698.372918792372
595,5055.100626068475
596,5193.021702104304
597,4981.854653856247
598,5322.289191625085
599,5076.039218770354
600,4967.476985146555
601,5214.098619997563
602,4692.35516094359
603,4954.400774256462
604,4644.799702947469
605,4999.5003691394995
606,4975.040322592984
607,4576.393749261453
608,4994.5497735539675
609,4992.779812938645
610,4615.306918747351
611,4983.278156243808
612,5071.7935404995915
613,4640.199610250063
614,4958.459732718018
615,4955.960800231407
616,5431.959691199122
617,4698.307525555272
618,4773.9776498666715
619,4990.383147877961
620,5173.252406438276
621,4630.574673660179
622,4995.514016001217
623,5120.471538166349
624,5007.15735153081
625,4636.901023513985
626,5231.796299696361
627,4975.040322592984
628,4928.849854674022
629,4928.849854674022
630,4627.862280860949
631,4982.829290961555
632,4984.413474458091
633,4881.798228850926
634,4629.523962911969
635,4984.354821108822
636,4988.855547659186
637,4741.092530700923
638,5122.2843170604665
639,4764.874793116392
640,4685.380008132361
641,5322.289191625085
642,5005.3400899484
643,4972.788831557213
644,5258.822315061523
645,4913.42825557147
646,4692.35516094359
647,4678.778562348627
648,5870.655783147154
649,4978.19973721134
650,4969.782691467903
651,4803.78220677456
652,4615.306918747351
653,5058.917266693908
654,4873.126098837881
655,5214.098619997563
656,4697.468600840772
657,4928.849854674022
658,4995.208303146102
659,4990.8091557289345
660,5509.505737810322
661,4964.854598335681
662,4990.383147877961
663,4986.690484597923
664,4738.21527928426
665,5142.456516224248
666,4949.674286197535
667,4950.535671238975
668,4689.654373767263
669,4953.57590557779
670,5120.872180504483
671,4977.546504729689
672,4943.662692951474
673,5418.907984417295
674,5367.448590032872
675,4977.673479877021
676,4958.7320646262115
677,4986.273712953506
678,4651.086798397016
679,4975.040322592984
680,4603.273790983668
681,5007.15735153081
682,5295.945875705194
683,4981.31263548532
684,5020.589182549778
685,4740.600770138882
686,5870.655783147154
687,5083.209561770771
688,4976.468105509095
689,5024.26732597097
690,5005.3400899484
691,4641.429834639483
692,5142.456516224248
693,4977.546504729689
694,5050.346732739975
695,4961.7944048481395
696,4635.793558678964
697,4953.57590557779
698,5476.526947335217
699,4978.60329810728
700,5018.777676355668
701,4738.298989662534
